Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue Capacity,Tour_ID
2009-07-08,Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",,—,,1
2009-07-09,Edmonton,Canada,Rexall Place,—,33910.0,"$2,540,906",44500.0,1
2009-07-10,Craven,Canada,Big Valley Park,—,,—,,1
2009-07-11,Winnipeg,Canada,MTS Centre,"Gloriana
Kellie Pickler",11369.0,"$512,487",11369.0,1
2009-07-16,Twin Lakes,United States,Country Thunder Festival,—,,—,,1
2009-07-17,Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",,—,,1
2009-07-18,Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",,—,,1
2009-07-23,Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,,—,,1
2009-07-24,Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",,—,,1
2009-07-25,Minot,United States,North Dakota State Fair Grandstand,—,,—,,1
2009-08-01,Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",,—,,1
2009-08-07,Detroit Lakes,United States,Soo Pass Ranch,"Brooks & Dunn
Craig Morgan",,—,,1
2009-08-09,Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",,—,,1
2009-08-22,Chelmsford,England,Hylands Park,—,,—,,1
2009-08-23,Weston-under-Lizard,England,Weston Park,—,,—,,1
2009-08-27,New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler",13597.0,"$976,062",13597.0,1
2009-08-28,Uncasville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler",7507.0,"$296,306",7507.0,1
2009-08-29,University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",,—,,1
2009-08-30,Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",,—,,1
2009-09-03,Duluth,United States,Arena at Gwinnett Center,"Gloriana
Kellie Pickler",,—,,1
2009-09-04,Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",,—,,1
2009-09-05,Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",,—,,1
2009-09-09,Lafayette,United States,Cajundome,"Gloriana
Kellie Pickler",,—,,1
2009-09-10,Bossier City,United States,CenturyTel Center,"Gloriana
Kellie Pickler",,—,,1
2009-09-11,Birmingham,United States,BJCC Arena,"Gloriana
Kellie Pickler",,—,,1
2009-09-12,Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler",14269.0,"$642,387",14269.0,1
2009-09-25,Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",13794.0,"$628,062",13794.0,1
2009-09-26,North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler",13978.0,"$654,089",13978.0,1
2009-09-27,Tulsa,United States,BOK Center,"Gloriana
Kellie Pickler",,—,,1
2009-10-01,Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",,—,,1
2009-10-02,Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",,—,,1
2009-10-03,Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler",15524.0,"$743,492",15524.0,1
2009-10-08,Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler",13373.0,"$634,876",13373.0,1
2009-10-09,Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",26265.0,"$1,150,896",26265.0,1
2009-10-10,Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",26265.0,"$1,150,896",26265.0,1
2009-10-11,Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler",13563.0,"$623,975",13563.0,1
2009-11-23,London,England,Wembley Arena,Justin Bieber,,—,,1
2009-11-24,Manchester,England,Manchester Evening News Arena,Justin Bieber,,—,,1
2010-02-04,Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,11334.0,"$956,505",11334.0,1
2010-02-06,Sydney,Australia,Acer Arena,Gloriana,27030.0,"$2,030,640",27030.0,1
2010-02-07,Sydney,Australia,Acer Arena,Gloriana,27030.0,"$2,030,640",27030.0,1
2010-02-08,Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,7180.0,"$555,396",7180.0,1
2010-02-10,Melbourne,Australia,Rod Laver Arena,Gloriana,23493.0,"$1,627,510",23493.0,1
2010-02-11,Melbourne,Australia,Rod Laver Arena,Gloriana,23493.0,"$1,627,510",23493.0,1
2010-02-12,Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,9066.0,"$585,352",9066.0,1
2010-02-17,Tokyo,Japan,Zepp Tokyo,—,,—,,1
2010-03-04,Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler",13861.0,"$793,049",13861.0,1
