City,State,Country,Venue,Alternate Names,Latitude,Longitude,,
Liverpool,,United Kingdom,Anfield Stadium,,53.4308,-2.9608,,
London,,England,Hyde Park,,,,,
London,,England,Shepherd's Bush Empire,,,,,
London,,England,The O2 Arena,,,,,
London,,England,Wembley Arena,,,,,
London,,United Kingdom,Wembley Stadium,,51.556,-0.2796,,
London,,England,Wembley Stadium,,,,,
Los Angeles,CA,United States,SOFI STADIUM,,33.9535,-118.3392,,
Los Angeles,,United States,Staples Center,Crypto.com Arena,,,,
Louisville,,United States,Cardinal Stadium,L&N Federal Credit Union Stadium,,,,
Louisville,,United States,Freedom Hall,,,,,
Louisville,,United States,KFC Yum! Center,,,,,
Lubbock,,United States,United Spirit Arena,,,,,
Lyon,,France,Groupama Stadium,,45.7652,4.9827,,
Madrid,,Spain,Estadio Santiago Bernabeu,,40.4531,-3.6883,,
Madrid,,Spain,Palacio de los Deportes,Movistar Arena,,,,
Manchester,,England,Etihad Stadium,,,,,
Manchester,,England,Manchester Arena,AO Arena,,,,
Manchester,,England,Manchester Evening News Arena,AO Arena,,,,
Melbourne,,Australia,AAMI Park,,,,,
Melbourne,,Australia,Etihad Stadium,Marvel Stadium,,,,
Melbourne,,Australia,Marvel Stadium,,,,,
Melbourne,,Australia,MCG,,-37.8199,144.9834,,
Melbourne,,Australia,Rod Laver Arena,,,,,
Memphis,,United States,FedExForum,,,,,
Mexico City,,Mexico,Foro Sol,,19.4042,-99.0907,,
Miami,,United States,American Airlines Arena,Kaseya Center,,,,
Miami,FL,United States,Hard Rock Stadium,,25.958,-80.2389,,
Miami Gardens,,United States,Hard Rock Stadium,,,,,
Milan,,Italy,Mediolanum Forum,,,,,
Milan,,Italy,San Siro Stadium,,45.4781,9.124,,
Milwaukee,,United States,Bradley Center,,,,,
Minneapolis,,United States,Target Center,,,,,
Minneapolis,MN,United States,U.S. BANK STADIUM,,44.9737,-93.257,,
Minneapolis,,United States,U.S. Bank Stadium,,,,,
Minot,,United States,North Dakota State Fair Grandstand,,,,,
Moline,,United States,iWireless Center,,,,,
Montreal,,Canada,Bell Centre,,,,,
Munich,,Germany,Olympiastadion,,48.1731,11.5466,,
Nampa,,United States,Ford Arena,,,,,
Nashville,,United States,Bridgestone Arena,,,,,
