City,State,Country,Venue,Latitude,Longitude
Houston,,United States,Toyota Center,,
Baton Rouge,,United States,Tiger Stadium,,
"Washington, D.C.",,United States,Verizon Center,,
Foxborough,,United States,Gillette Stadium,,
Nassau,,The Bahamas,Imperial Ballroom,,
Cavendish,,Canada,Cavendish Beach Festival Grounds,,
Singapore,,Singapore,Singapore Indoor Stadium,,
Seoul,,South Korea,Olympic Gymnastics Arena,,
Osaka,,Japan,Osaka-Jo Hall,,
Tokyo,,Japan,Nippon Budokan,,
Quezon City,,Philippines,Smart Araneta Coliseum,,
Hong Kong,,China,AsiaWorld–Arena,,
Brussels,,Belgium,Forest National,,
Rotterdam,,Netherlands,Sportpaleis van Ahoy,,
Oslo,,Norway,Oslo Spektrum,,
Oberhausen,,Germany,König Pilsener Arena,,
Milan,,Italy,Mediolanum Forum,,
Paris,,France,Zénith de Paris,,
Madrid,,Spain,Palacio de los Deportes,,
Birmingham,,England,LG Arena,,
Belfast,,Northern Ireland,Odyssey Arena,,
Dublin,,Ireland,The O2,,
London,,England,The O2 Arena,,
Orlando,,United States,Amway Center,,
Columbus,,United States,Nationwide Arena,,
Milwaukee,,United States,Bradley Center,,
Detroit,,United States,Ford Field,,
Pittsburgh,,United States,Heinz Field,,
Buffalo,,United States,First Niagara Center,,
Hartford,,United States,XL Center,,
Knoxville,,United States,Thompson–Boling Arena,,
Montreal,,Canada,Bell Centre,,
Washington,,United States,Verizon Center,,
Philadelphia,,United States,Lincoln Financial Field,,
Sacramento,,United States,Power Balance Pavilion,,
Tacoma,,United States,Tacoma Dome,,
Vancouver,,Canada,Rogers Arena,,
Bossier City,,United States,CenturyLink Center,,
Kansas City,,United States,Arrowhead Stadium,,
Atlanta,,United States,Philips Arena,,
New Orleans,,United States,New Orleans Arena,,
Arlington,,United States,Cowboys Stadium,,
Louisville,,United States,KFC Yum! Center,,
Lubbock,,United States,United Spirit Arena,,
Oklahoma City,,United States,Chesapeake Energy Arena,,
San Antonio,,United States,AT&T Center,,
Memphis,,United States,FedExForum,,
Houston,,United States,Minute Maid Park,,
Miami,,United States,American Airlines Arena,,
Perth,,Australia,Burswood Dome,,
Sydney,,Australia,Allphones Arena,,
Auckland,,New Zealand,Vector Arena,,
Omaha,,United States,CenturyLink Center Omaha,,
Tampa,,United States,Tampa Bay Times Forum,,
Indianapolis,,United States,Bankers Life Fieldhouse,,
Toronto,,Canada,Rogers Centre,,
Winnipeg,,Canada,Investors Group Field,,
Vancouver,,Canada,BC Place Stadium,,
East Rutherford,,United States,MetLife Stadium,,
Chicago,,United States,Soldier Field,,
Sacramento,,United States,Sleep Train Arena,,
Portland,,United States,Moda Center,,
Fargo,,United States,Fargodome,,
Raleigh,,United States,PNC Arena,,
Sydney,,Australia,Allianz Stadium,,
Brisbane,,Australia,Suncorp Stadium,,
Perth,,Australia,nib Stadium,,
Melbourne,,Australia,Etihad Stadium,,
Berlin,,Germany,O2 World,,
Shanghai,,China,Mercedes-Benz Arena,,
Saitama,,Japan,Saitama Super Arena,,
Jakarta,,Indonesia,MEIS Ancol,,
Pasay,,Philippines,Mall of Asia Arena,,
Kuala Lumpur,,Malaysia,Putra Indoor Stadium,,
Tokyo,,Japan,Tokyo Dome,,
Winchester,,United States,City of Rock,,
Baton Rouge,,United States,LSU Tiger Stadium,,
Cologne,,Germany,Lanxess Arena,,
Amsterdam,,Netherlands,Ziggo Dome,,
Glasgow,,Scotland,SSE Hydro,,
Manchester,,England,Manchester Arena,,
London,,England,Hyde Park,,
Dublin,,Ireland,3Arena,,
Ottawa,,Canada,Canadian Tire Centre,,
"Washington, D.C.",,United States,Nationals Park,,
Vancouver,,Canada,BC Place,,
Seattle,,United States,CenturyLink Field,,
Santa Clara,,United States,Levi's Stadium,,
Glendale,,United States,Gila River Arena,,
San Diego,,United States,Petco Park,,
Arlington,,United States,AT&T Stadium,,
Atlanta,,United States,Georgia Dome,,
Tampa,,United States,Raymond James Stadium,,
Sydney,,Australia,ANZ Stadium,,
Melbourne,,Australia,AAMI Park,,
Glendale,,United States,University of Phoenix Stadium,,
Pasadena,,United States,Rose Bowl,,
Denver,,United States,Sports Authority Field at Mile High,,
Manchester,,England,Etihad Stadium,,
Dublin,,Ireland,Croke Park,,
London,,England,Wembley Stadium,,
Louisville,,United States,Cardinal Stadium,,
Columbus,,United States,Ohio Stadium,,
Landover,,United States,FedExField,,
Cleveland,,United States,FirstEnergy Stadium,,
Atlanta,,United States,Mercedes-Benz Stadium,,
Miami Gardens,,United States,Hard Rock Stadium,,
Nashville,,United States,Nissan Stadium,,
Minneapolis,,United States,U.S. Bank Stadium,,
Indianapolis,,United States,Lucas Oil Stadium,,
St. Louis,,United States,The Dome at America's Center,,
New Orleans,,United States,Mercedes-Benz Superdome,,
Houston,,United States,NRG Stadium,,
Perth,,Australia,Optus Stadium,,
Melbourne,,Australia,Marvel Stadium,,
Brisbane,,Australia,The Gabba,,
Auckland,,New Zealand,Mount Smart Stadium,,
