Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID
2011-09-11,vancouver,canada,rogers arena,Needtobreathe,13015.0,1095340,13015.0,2,176.0
2011-09-16,nashville,united states,bridgestone arena,Needtobreathe,14089.0,920567,14089.0,2,40.0
2011-09-17,nashville,united states,bridgestone arena,Needtobreathe,14089.0,920567,14089.0,2,40.0
2011-09-20,bossier city,united states,centurylink center,Needtobreathe,11510.0,728546,11510.0,2,49.0
2011-09-21,tulsa,united states,bok center,Needtobreathe,12546.0,907573,12546.0,2,38.0
2011-09-24,kansas city,united states,arrowhead stadium,Needtobreathe,48562.0,3148046,48562.0,2,22.0
2011-09-27,denver,united states,pepsi center,Needtobreathe,12908.0,834916,12908.0,2,160.0
2011-09-28,salt lake city,united states,energysolutions arena,Needtobreathe,13720.0,896946,13720.0,2,64.0
2011-10-01,atlanta,united states,philips arena,Needtobreathe,13122.0,863331,13122.0,2,163.0
2011-10-02,atlanta,united states,philips arena,Needtobreathe,13122.0,863330,13122.0,2,163.0
2011-10-04,north little rock,united states,verizon arena,Needtobreathe,13566.0,856123,13566.0,2,225.0
2011-10-05,new orleans,united states,new orleans arena,Needtobreathe,12943.0,830289,12943.0,2,140.0
2011-10-08,arlington,united states,cowboys stadium,Needtobreathe,55451.0,4337062,55451.0,2,61.0
2011-10-11,louisville,united states,kfc yum! center,Needtobreathe,14848.0,1003828,14848.0,2,105.0
2011-10-14,lubbock,united states,united spirit arena,Needtobreathe,10419.0,710426,10419.0,2,218.0
2011-10-15,oklahoma city,united states,chesapeake energy arena,Needtobreathe,11592.0,758364,11592.0,2,54.0
2011-10-20,san diego,united states,valley view casino center,Needtobreathe,10834.0,792634,10834.0,2,220.0
2011-10-21,glendale,united states,jobing.com arena,Needtobreathe,13515.0,913013,13515.0,2,101.0
2011-10-22,glendale,united states,jobing.com arena,Needtobreathe,13514.0,913012,13514.0,2,101.0
2011-10-25,san antonio,united states,at&t center,Needtobreathe,13851.0,901535,13851.0,2,24.0
2011-10-26,austin,united states,frank erwin center,Needtobreathe,11999.0,752078,11999.0,2,82.0
2011-10-29,lexington,united states,rupp arena,Needtobreathe,16237.0,1041935,16237.0,2,180.0
2011-10-30,memphis,united states,fedexforum,Needtobreathe,12604.0,820036,12604.0,2,73.0
2011-11-05,houston,united states,minute maid park,Needtobreathe,42095.0,3435756,42095.0,2,130.0
2011-11-11,jacksonville,united states,jacksonville veterans memorial arena,Needtobreathe,11785.0,749099,11785.0,2,100.0
2011-11-12,tampa,united states,st. pete times forum,Needtobreathe,13695.0,914300,13695.0,2,199.0
2011-11-13,miami,united states,american airlines arena,Needtobreathe,12153.0,786904,12153.0,2,13.0
2011-11-16,charlotte,united states,time warner cable arena,Needtobreathe,14272.0,920903,14272.0,2,212.0
2011-11-17,raleigh,united states,rbc center,Needtobreathe,13567.0,866056,13567.0,2,172.0
2011-11-18,columbia,united states,colonial life arena,Needtobreathe,12807.0,828231,12807.0,2,57.0
2011-11-21,new york city,united states,madison square garden,Needtobreathe,13326.0,994206,13326.0,2,115.0
2011-11-22,new york city,united states,madison square garden,Needtobreathe,13326.0,994205,13326.0,2,115.0
2012-03-02,perth,australia,burswood dome,Hot Chelle Rae,,1878530,,2,43.0
2012-03-04,adelaide,australia,adelaide entertainment centre,Hot Chelle Rae,,1075370,,2,6.0
2012-03-06,brisbane,australia,brisbane entertainment centre,Hot Chelle Rae,,1208015,,2,41.0
2012-03-07,brisbane,australia,brisbane entertainment centre,Hot Chelle Rae,,1208015,,2,41.0
2012-03-09,sydney,australia,allphones arena,Hot Chelle Rae,,1710180,,2,11.0
2012-03-10,sydney,australia,allphones arena,Hot Chelle Rae,,1710180,,2,11.0
2012-03-12,melbourne,australia,rod laver arena,Hot Chelle Rae,,1383884,,2,175.0
2012-03-13,melbourne,australia,rod laver arena,Hot Chelle Rae,,1383883,,2,175.0
2012-03-14,melbourne,australia,rod laver arena,Hot Chelle Rae,,1383883,,2,175.0
2012-03-16,auckland,new zealand,vector arena,Hot Chelle Rae,,962854,,2,223.0
2012-03-17,auckland,new zealand,vector arena,Hot Chelle Rae,,962853,,2,223.0
2012-03-18,auckland,new zealand,vector arena,Hot Chelle Rae,,962853,,2,223.0
